"vuln_id","package","comment"
"CVE-2026-5435","glibc","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-5450","glibc","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-54876","openssl","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-57432","perl","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-58055","nghttp2","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-5928","glibc","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-6238","glibc","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-73070","vim","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-73071","vim","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-73072","vim","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-73073","vim","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-73074","vim","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-73075","vim","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-73076","vim","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-73077","vim","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"CVE-2026-73078","vim","baseline (2026-08-22): この時点の既知として受け入れ。理由は棚卸しで追記"
"OSV-2021-777","libxml2","baseline (2026-08-22): OSS-Fuzz の finding (OSV-* 系列)。この時点の既知として受け入れ"
"OSV-2023-1307","libbpf","baseline (2026-08-22): OSS-Fuzz の finding (OSV-* 系列)。この時点の既知として受け入れ"
"OSV-2023-197","p11-kit","baseline (2026-08-22): OSS-Fuzz の finding (OSV-* 系列)。この時点の既知として受け入れ"
"OSV-2023-877","libbpf","baseline (2026-08-22): OSS-Fuzz の finding (OSV-* 系列)。この時点の既知として受け入れ"
"OSV-2024-112","boost","baseline (2026-08-22): OSS-Fuzz の finding (OSV-* 系列)。この時点の既知として受け入れ"
"OSV-2024-698","libxml2","baseline (2026-08-22): OSS-Fuzz の finding (OSV-* 系列)。この時点の既知として受け入れ"
"OSV-2024-914","boost","baseline (2026-08-22): OSS-Fuzz の finding (OSV-* 系列)。この時点の既知として受け入れ"
"OSV-2026-565","libxml2","baseline (2026-08-22): OSS-Fuzz の finding (OSV-* 系列)。この時点の既知として受け入れ"
"CVE-2026-14457","openssl","openssl 3.6.3 / Low: RPK サーバの署名アルゴリズム選択で証明書欠落を参照。閉包の openssl は TLS クライアント用途のみでサーバ経路なし。修正は 3.6.4 (2026-08-25) だが nixpkgs-unstable 未到達 (staging のみ)。3.6.4 到達時に削除する"
"CVE-2026-18798","openssl","openssl 3.6.3 / Moderate: QUIC サーバの INITIAL パケット処理で二重解放。QUIC サーバを持たず到達経路なし。修正は 3.6.4 (2026-08-25) だが nixpkgs-unstable 未到達 (staging のみ)。3.6.4 到達時に削除する"
"CVE-2026-54874","openssl","openssl 3.6.3 / Low: 将来 epoch の DTLS レコード緩衝でメモリ過大使用。DTLS 不使用。修正は 3.6.4 (2026-08-25) だが nixpkgs-unstable 未到達 (staging のみ)。3.6.4 到達時に削除する"
"CVE-2026-63072","openssl","openssl 3.6.3 / Moderate: CMS 鍵アンラップのヒープバッファオーバーフロー。CMS_decrypt を通る経路なし。修正は 3.6.4 (2026-08-25) だが nixpkgs-unstable 未到達 (staging のみ)。3.6.4 到達時に削除する"
"CVE-2026-63073","openssl","openssl 3.6.3 / Low: CMP 応答検証で送信者 DN を書式文字列に使用。CMP クライアント不使用。修正は 3.6.4 (2026-08-25) だが nixpkgs-unstable 未到達 (staging のみ)。3.6.4 到達時に削除する"
"CVE-2026-63074","openssl","openssl 3.6.3 / Low: CMP の extraCerts キャッシュが無限に増加。CMP サーバを持たない。修正は 3.6.4 (2026-08-25) だが nixpkgs-unstable 未到達 (staging のみ)。3.6.4 到達時に削除する"
"CVE-2026-63075","openssl","openssl 3.6.3 / Low: QUIC ACK-only パケット滞留によるメモリ枯渇。curl+ngtcp2 のクライアント側のみ。修正は 3.6.4 (2026-08-25) だが nixpkgs-unstable 未到達 (staging のみ)。3.6.4 到達時に削除する"
"CVE-2026-63076","openssl","openssl 3.6.3 / Moderate: CMP サーバの不正ポインタ参照 (protectionAlg)。CMP サーバを持たない。修正は 3.6.4 (2026-08-25) だが nixpkgs-unstable 未到達 (staging のみ)。3.6.4 到達時に削除する"
"CVE-2026-75803","openssl","openssl 3.6.3 / Low: EVP_Cipher() 使用時に空の暗号文で AEAD 偽造。低レベル API の直叩き経路なし。修正は 3.6.4 (2026-08-25) だが nixpkgs-unstable 未到達 (staging のみ)。3.6.4 到達時に削除する"
